"filename", "language", "JavaScript", "JSON", "vue", "Markdown", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\awso\magnificentMansion\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\awso\magnificentMansion\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\awso\magnificentMansion\package-lock.json", "JSON", 0, 2010, 0, 0, 0, 0, 0, 0, 1, 2011
"c:\awso\magnificentMansion\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\awso\magnificentMansion\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\awso\magnificentMansion\public\icons.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\awso\magnificentMansion\src\App.vue", "vue", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\awso\magnificentMansion\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\awso\magnificentMansion\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\awso\magnificentMansion\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\awso\magnificentMansion\src\components\HelloWorld.vue", "vue", 0, 0, 90, 0, 0, 0, 0, 0, 6, 96
"c:\awso\magnificentMansion\src\components\NavBar.vue", "vue", 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\awso\magnificentMansion\src\layouts\DashboardLayout.vue", "vue", 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\awso\magnificentMansion\src\main.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\awso\magnificentMansion\src\style.css", "PostCSS", 0, 0, 0, 0, 258, 0, 0, 0, 39, 297
"c:\awso\magnificentMansion\src\views\HomeView.vue", "vue", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\awso\magnificentMansion\src\views\InquilinoView.vue", "vue", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"c:\awso\magnificentMansion\src\views\ServiciosView.vue", "vue", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\awso\magnificentMansion\src\views\UsuarioView.vue", "vue", 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\awso\magnificentMansion\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 2, 16
"Total", "-", 35, 2031, 300, 3, 263, 27, 14, 2, 90, 2765
